datetime,tempmax,tempmin,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,moonphase,weathercode,rain_sum,precipitation_hours,windspeed_10m_max,et0_fao_evapotranspiration,river_discharge
2017-11-13,0.49122807017543857,0.548780487804878,0.6706349206349206,0.7047913446676972,0.0,0.0,0.0,0.037122969837587005,0.3273942093541202,0.6306620209059233,0.47600000000000003,0.20707070707070704,0.622482717162609,0.836734693877551,0.015384615384615385,0.0,0.0,0.13983050847457631,0.43941841680129246,0.07148626817447497
2017-11-14,0.45614035087719285,0.6016260162601625,0.6865079365079364,0.7217928902627513,0.0,0.0,0.0,0.04640371229698376,0.16787305122494434,0.6445993031358839,0.589,0.21717171717171718,0.4833183047790803,0.8673469387755102,0.03076923076923077,0.0,0.0,0.18644067796610173,0.4717285945072698,0.07027463651050081
2017-11-15,0.368421052631579,0.7032520325203252,0.7182539682539683,0.8361669242658425,0.001,1.0,0.0417,0.04988399071925753,0.18151447661469935,0.6585365853658516,0.914,0.15656565656565655,0.19446949203486627,0.9081632653061225,0.7846153846153847,0.0025445292620865138,0.125,0.13559322033898305,0.16801292407108237,0.06825525040387723
2017-11-16,0.3771929824561402,0.6463414634146342,0.738095238095238,0.8794435857805256,0.005,1.0,0.0417,0.05800464037122971,0.13223830734966593,0.710801393728218,0.943,0.13636363636363635,0.2729185452359483,0.9387755102040817,0.7846153846153847,0.007633587786259542,0.41666666666666663,0.04661016949152544,0.061389337641357025,0.06865912762520193
2017-11-17,0.5175438596491226,0.6707317073170731,0.761904761904762,0.8531684698608966,0.065,1.0,0.125,0.037122969837587005,0.5000000000000001,0.6933797909407602,0.867,0.16666666666666666,0.4682897505259994,0.9795918367346939,0.7846153846153847,0.0033927056827820186,0.125,0.05932203389830509,0.3344103392568659,0.0678513731825525
2017-11-18,0.49122807017543857,0.6585365853658537,0.7896825396825397,0.8006182380216385,0.0235,1.0,0.3333,0.012761020881670526,0.49972160356347434,0.6759581881533094,0.67,0.17171717171717168,0.5425308085362188,0.0,0.7846153846153847,0.0008481764206955047,0.041666666666666664,0.10593220338983053,0.33602584814216474,0.06542810985460422
2017-11-19,0.5175438596491226,0.6585365853658537,0.761904761904762,0.8176197836166925,0.0,0.0,0.0,0.06496519721577726,0.7945434298440981,0.6794425087107996,0.514,0.15656565656565655,0.5656747820859633,0.030612244897959183,0.03076923076923077,0.0,0.0,0.15677966101694915,0.3618739903069467,0.0630048465266559
2017-11-20,0.48684210526315774,0.5731707317073171,0.7103174603174603,0.7635239567233385,0.0,0.0,0.0,0.05452436194895591,0.7664253897550112,0.6968641114982574,0.135,0.1616161616161616,0.5792004809137361,0.061224489795918366,0.03076923076923077,0.0,0.0,0.19067796610169493,0.3844911147011308,0.06138933764135704
2017-11-21,0.3991228070175439,0.6056910569105691,0.6865079365079364,0.8098918083462134,0.0,0.0,0.0,0.04640371229698376,0.7243875278396437,0.6933797909407602,0.174,0.14646464646464646,0.5154794108806733,0.09183673469387756,0.0,0.0,0.0,0.14830508474576273,0.4103392568659127,0.05977382875605816
2017-11-22,0.42105263157894735,0.524390243902439,0.623015873015873,0.7387944358578054,0.0,0.0,0.0,0.04640371229698376,0.627227171492205,0.6341463414634134,0.14300000000000002,0.1616161616161616,0.5281033964532612,0.12244897959183673,0.0,0.0,0.0,0.11016949152542374,0.38772213247172854,0.0581583198707593
